Run	group	Protein.Group	Genes	PG.MaxLFQ	n_peptides
bisC2	bisC	P00914	phrB	22.693748121501727	22
bisC3	bisC	P00914	phrB	23.022629922527482	22
msrA1	msrA	P00914	phrB	22.931896835265324	23
msrA2	msrA	P00914	phrB	22.830439770637323	21
msrA3	msrA	P00914	phrB	23.115846006918865	22
msrB1	msrB	P00914	phrB	22.207142150877218	22
msrB2	msrB	P00914	phrB	21.949672761900718	17
msrB3	msrB	P00914	phrB	22.36311544793241	20
msrC1	msrC	P00914	phrB	22.42958271330735	23
msrC3	msrC	P00914	phrB	21.989769280961077	23
WT1	WT	P00926	dsdA	24.64169479963909	20
WT2	WT	P00926	dsdA	24.689259228011476	22
WT3	WT	P00926	dsdA	24.573745755011927	22
bisC1	bisC	P00926	dsdA	24.794912082649457	22
bisC2	bisC	P00926	dsdA	24.749086025319837	20
bisC3	bisC	P00926	dsdA	24.828037963718874	20
msrA1	msrA	P00926	dsdA	25.08073703176524	22
msrA2	msrA	P00926	dsdA	24.41136150638346	20
msrA3	msrA	P00926	dsdA	24.442107235976138	20
msrB1	msrB	P00926	dsdA	24.789951373683063	21
msrB2	msrB	P00926	dsdA	24.78180002197591	19
msrB3	msrB	P00926	dsdA	24.792376663851957	19
msrC1	msrC	P00926	dsdA	24.906388594111917	20
msrC3	msrC	P00926	dsdA	24.945369710997696	22
WT1	WT	P00934	thrC	27.504025364298226	21
WT2	WT	P00934	thrC	27.516627486942	22
WT3	WT	P00934	thrC	27.520250588388038	22
bisC1	bisC	P00934	thrC	27.025035616313023	20
bisC2	bisC	P00934	thrC	26.841327659194423	20
bisC3	bisC	P00934	thrC	27.011555547613874	21
msrA1	msrA	P00934	thrC	27.285440883571894	22
msrA2	msrA	P00934	thrC	27.585233863821657	22
msrA3	msrA	P00934	thrC	27.34155058381654	22
msrB1	msrB	P00934	thrC	26.72410037197511	22
msrB2	msrB	P00934	thrC	26.78179061892797	19
msrB3	msrB	P00934	thrC	26.84709128658962	21
msrC1	msrC	P00934	thrC	26.841128949053633	21
msrC3	msrC	P00934	thrC	26.60274427922537	22
WT1	WT	P00935	metB	22.917004969507815	9
WT2	WT	P00935	metB	22.703864402111332	9
WT3	WT	P00935	metB	22.7793784143328	9
bisC1	bisC	P00935	metB	22.677984320289138	8
bisC2	bisC	P00935	metB	22.918988492060723	9
bisC3	bisC	P00935	metB	22.80272450727549	9
msrA1	msrA	P00935	metB	22.738197427004547	9
msrA2	msrA	P00935	metB	22.988352621832895	9
msrA3	msrA	P00935	metB	22.668349414561593	9
msrB1	msrB	P00935	metB	22.639260545904644	8
msrB2	msrB	P00935	metB	22.552169289363214	9
msrB3	msrB	P00935	metB	22.489148248602305	9
msrC1	msrC	P00935	metB	22.558951048595972	9
msrC3	msrC	P00935	metB	22.60176047560937	9
WT1	WT	P00936	cyaA	22.962430508660667	27
WT2	WT	P00936	cyaA	22.79433068439206	27
WT3	WT	P00936	cyaA	22.825192790878255	27
bisC1	bisC	P00936	cyaA	22.968426511020503	27
bisC2	bisC	P00936	cyaA	22.89165430273774	27
bisC3	bisC	P00936	cyaA	22.7997970126068	27
msrA1	msrA	P00936	cyaA	22.741891152198985	27
msrA2	msrA	P00936	cyaA	22.985069554639757	27
